Facility Name,Physical Address,City,Latitude,Longitude,Geocode_Status
Borrowdale Pvt Hsp-Criticare Radiology Unit,1 Wenham CloseBorrowdale,Harare,-17.8567035,31.0601584,Exact / Approximate
Borrowdale Radiology,Number 3 Borrowdale Lane Borrowdale,Harare,-17.8567035,31.0601584,Exact / Approximate
Borrowdale Specialist Eye Clinic,1 Borrowdale LaneBorrowdale,Harare,-17.8567035,31.0601584,Exact / Approximate
Boston Health-Ngezi,913Turf,Mhondoro Ngezi,-18.7412115,30.6097172,Exact / Approximate
Bradford Pharmacy,Stand 227755 Robert Mugabe Rd,Harare,-17.8567035,31.0601584,Exact / Approximate
Braeside Dental Surgery,Braeside Shopping Centre,Harare,-17.8567035,31.0601584,Exact / Approximate
Braeside Pharmacy,Stand 16858Horatio AvenueBraeside,Harare,-17.8567035,31.0601584,Exact / Approximate
Braeside Surgery,Braeside Shopping Centre,Harare,-17.8567035,31.0601584,Exact / Approximate
Brain & Spine Clinic,147 Mirose CourtFive Avenue,Harare,-17.8567035,31.0601584,Exact / Approximate
Bravette Industrial Clinic,808Seke RoadProspect Industrial Park,Harare,-17.8567035,31.0601584,Exact / Approximate
Breemart Private Limited,1715 Wadzanai Township,Shamva,-17.1763039,31.6313775,Exact / Approximate
Breeze Dental Care,3342 Teebox Complex Nyamhunga,Kariba,-16.527274,28.7755479,Exact / Approximate
Briashe Surgery,Number 6 Rowland Square Milton Park,Harare,-17.8567035,31.0601584,Exact / Approximate
Brice Pharmacy,120 CBD,Kwekwe,-18.9284366,29.8140035,Exact / Approximate
Brice Pharmacy,Stand No 6878 Mkoba 6 Shopping Centre,Gweru,-19.4616316,29.8205953,Exact / Approximate
Bridget Wolhuter Speech and Audiology Centre,St. Philips Building Materdei HospitalBurns Drive,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bright Pharmacy,352Main Street,Chivhu,-19.0187032,30.8969497,Exact / Approximate
Bright Pharmacy,3856 Parirenyatwa Street Dzivarasekwa 2,Harare,-17.8567035,31.0601584,Exact / Approximate
Bright Pharmacy Southerton,10 Highfield RoadSoutherton,Harare,-17.8567035,31.0601584,Exact / Approximate
Bright Westgate Pharmacy,Shop MK8 Westgate Shopping Mall,Harare,-17.8567035,31.0601584,Exact / Approximate
Brio Laboratories,73623 New Lobengula,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Broadlands Dental,8 Broadlands RoadMt Pleasant,Harare,-17.8567035,31.0601584,Exact / Approximate
Brompton Mine Clinic,Brompton Mine MhondoroNgezi District,Mhondoro Ngezi,-18.7412115,30.6097172,Exact / Approximate
Brooke Clinic-Borrowdale,Shop 13Borrowdale Brooke Shopping Centre,Harare,-17.8567035,31.0601584,Exact / Approximate
Brooke Dental Clinic,Shop 7Borrowdale Brooke Shopping Centre,Harare,-17.8567035,31.0601584,Exact / Approximate
Brooke Healthcare,"Suite F201, Shamwari Complex, 2nd Street Extension",Harare,-17.8567035,31.0601584,Exact / Approximate
Brooke Medical and Dental Clinic,Shop 7Brooke Shopping CenterBorrowdale,Harare,-17.8567035,31.0601584,Exact / Approximate
Brooklink Pharmacy,Stand 43 R. Mugabe Street,Kadoma,-18.3374033,29.9135021,Exact / Approximate
Brothers Medical Services,515896th Warren Park D,Harare,-17.8567035,31.0601584,Exact / Approximate
Bruce Pharmacy Dotito,101 Mukumbura Road,Mt Darwin,-16.5414793,31.6414315,Exact / Approximate
Bruce Pharmacy-Mt Darwin,185,Mt Darwin,-16.774303,31.582812,Exact / Approximate
Bubblecare Pharmacy,"Mhakayakora Shop, Makande business Centre",Uzumbamarambapfungwe,,,Failed
Bubi RDC-Bona RHC,Mtshana Khumalo VillageWard 21Bubi Rural District Council,Turk Mine,-19.714055,28.794679,Exact / Approximate
Bubye River Ranch Clinic,Ward 16Maranda Area,Masvingo,-20.7453957,31.334138,Exact / Approximate
Budget Health Medical Centre,81 Kaguvi Street,Harare,-17.8354079,31.0406989,Exact / Approximate
Budiriro 5 Medical Centre,"Shop Number 2, Budiriro 5 Shops",Harare,-17.8567035,31.0601584,Exact / Approximate
Budiriro 5 X-Ray Centre,Shop 3Budiriro 5 Complex,Harare,-17.8567035,31.0601584,Exact / Approximate
Budiriro Pharmacy,"9195 Shop Number 1, Budiriro Shopping Complex",Harare,-17.8567035,31.0601584,Exact / Approximate
Buhera RDC-Bangure RHC,Bangure RHCMurambindaP.Bag 2002,Buhera,-19.5081238,31.936243,Exact / Approximate
Buhera RDC-Betera Rural Health Clinic,Betera Rural Health ClinicP.Bag 3696 Murambinda,Buhera,-19.5081238,31.936243,Exact / Approximate
Buhera RDC-Chabata RHC,Chabata RHCMurambindaP.Bag 2002,Buhera,-19.5081238,31.936243,Exact / Approximate
Buhera RDC-Chapwanya Clinic,MurambindaP.Bag 2002,Buhera,-19.5081238,31.936243,Exact / Approximate
Buhera RDC-Chimbudzi RHC,Chimbudzi RHCMurambindaP.Bag 2002,Buhera,-19.5081238,31.936243,Exact / Approximate
Buhera RDC-Chirozva Clinic,Chirozva ClinicMurambindaP.Bag 2002,Buhera,-19.5081238,31.936243,Exact / Approximate
Buhera RDC-Chiwenga RHC,Chiwenga RHCMurambindaP.Bag 2002,Buhera,-19.5081238,31.936243,Exact / Approximate
Buhera RDC-Chiweshe Clinic,MurambindaP.Bag 2002,Buhera,-19.5081238,31.936243,Exact / Approximate
Buhera RDC-Garamwera RHC,Garamwera RHCMurambindaP.Bag 2002,Buhera,-19.5081238,31.936243,Exact / Approximate
Buhera RDC-Gombe RHC,Gombe RHCMurambindaP.Bag 2002,Buhera,-19.5081238,31.936243,Exact / Approximate
Buhera RDC-Gunura RHC,Gunura RHCMurambindaP.Bag 2002,Buhera,-19.5081238,31.936243,Exact / Approximate
Buhera RDC-Mudanda RHC,Mudanda RHCMurambindaP.Bag 2002,Buhera,-19.5081238,31.936243,Exact / Approximate
Buhera RDC-Mudawose RHC,Mudawose RHCMurambindaP.Bag 2002,Buhera,-19.5081238,31.936243,Exact / Approximate
Buhera RDC-Mutepfe RHC,Mutepfe RHCMurambindaP.Bag 2002,Buhera,-19.5081238,31.936243,Exact / Approximate
Buhera RDC-Mutiusinazita RHC,Mutiusinazita RHCMurambindaP.Bag 2002,Buhera,-19.5081238,31.936243,Exact / Approximate
Buhera RDC-Muunyanyi Clinic,Muunyanyi ClinicMurambindaP.Bag 2002,Buhera,-19.5081238,31.936243,Exact / Approximate
Buhera RDC-Muzokomba Rural Health centre,Muzokomba Clinic P.Bag 2002Murambinda,Buhera,-19.5081238,31.936243,Exact / Approximate
Buhera RDC-Rambanapasi RHC,Rambanapasi RHCMurambindaP.Bag 2002,Buhera,-19.5081238,31.936243,Exact / Approximate
Bulawayo Area Hospital,1 Medical Company Imbizo BarracksLlewellin,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Cancer Clinic,Suite 101First FloorHaylet House,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Casualty Centre,29A Jason MoyoBetween Fist and Second Avenue,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Centre Medical Chambers,Suite 104 Medical ChambersBulawayo Centre,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Centre Pharmacy,Shop 56Bulawayo Centre94 JMN Nkomo Street,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Dental Clinic,9826Luveve 4Inside Luveve Private Clinic,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Dental Practice,22A Jason Moyo Street,Bulawayo,-20.1564735,28.5830141,Exact / Approximate
Bulawayo East Surgery,Stand Number 16249Parklands,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Eye Clinic,121A George Silundika Street,Bulawayo,-20.1604793,28.584466,Exact / Approximate
Bulawayo Eye Institute,Mater Dei HospitalBurns Drive Malindela,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Eye Institute,Suite 302Lancet House9th Avenue between J.Tongogara/S Parirenyatwa,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Eye Institute,302ALancet House9th Ave/J.Tongogara Street,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Gvt. Dental Services,Cnr 11th Ave & H/Chitepo StOld Memorial Buildings,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Haematology Clinic,Unit 3B Mater Dei Hospital3770 Malindela,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Haemodialysis Centre,Number 44th Avenue / Josiah Tongogara Street,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Island Hospice Services,2 George Silundika Street,Bulawayo,-20.1604793,28.584466,Exact / Approximate
Bulawayo Medical Group Clinic,45 Robert Mugabe Way Between 3rd & 474 Avenue,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Mining Company - How Mine Clinic,Bulawayo Mining Company,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Occupational Therapy Services,22A Jason Moyo,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Oncology Pharmacy,Rhodes Building 9th Avenue between R.G Mugabe &G Silundika,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Paediatric and Family Medical Centre,"Suite 22 Medical Centre,Corner 8th and J. Tongogara",Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Paediatric and Family Medical Centre,Room 2 of Suite 22 Medical Centre8th and J.Tongogara,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Polytechnic,62 Park RoadBulawayo Surbubs,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo Urological Services,405A Lancet House 9th Ave & J. Tongorora St,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo West Hospital,26021Cowdray Park,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Bulawayo West Pharmacy,26021 Cowdray Park,Bulawayo,-20.0865308,28.5191345,Exact / Approximate
Bulilima RDC-Dombodema Clinic,NyeleWard 4,Plumtree,-20.4880677,27.805601,Exact / Approximate
Bulilima RDC-Huwana Clinic,HuwanaWard 8,Plumtree,-20.4880677,27.805601,Exact / Approximate
Bulilima RDC-Madlambudzi Clinic,Madlambudzi Ward 11,Plumtree,-20.4880677,27.805601,Exact / Approximate
Bulilima RDC-Makhulela Clinic,Makhulela Ward 9,Plumtree,-20.4880677,27.805601,Exact / Approximate
Bulilima RDC-Masendu Clinic,Masendu Ward 7,Plumtree,-20.4880677,27.805601,Exact / Approximate
Bulilima RDC-Ndiweni Clinic,Ndiweni Village Ward 2,Plumtree,-20.4880677,27.805601,Exact / Approximate
Bulilima RDC-Sikhati Clinic,TshankwaWard 1,Plumtree,-20.4880677,27.805601,Exact / Approximate
Bumble Bee Pharmacy,"190 Waterfalls Avenue, Houghton ParkWaterfalls",Harare,-17.8567035,31.0601584,Exact / Approximate
Bumble Bee Pharmacy-Harare,4292Shop 99Machipisa,Harare,-17.8567035,31.0601584,Exact / Approximate
Bumhudzo Old Peoples Hospital Home,287St Mary's,Chitungwiza,-18.0143462,31.0726737,Exact / Approximate
Burure Mission Clinic(ELCZ),Burure Mission ClinicP Bag 6225,Gokwe,-18.224982,28.953933,Exact / Approximate
Butler-Rees & Sanders Opticians,259Commercial Street,Chinhoyi,-17.3615308,30.1929353,Exact / Approximate
C and H Clinic,4412 Kushanda CrescentBudiriro 2,Harare,-17.8567035,31.0601584,Exact / Approximate
C and H Dental Clinic,225 Kushanda CrescentPahasha ComplexBudiriro 2,Harare,-17.8567035,31.0601584,Exact / Approximate
C and H Diagnostics Medical Ultrasound Scanning,Number 9 Samora Machel Avenue,Harare,-17.8567035,31.0601584,Exact / Approximate
C S Dental Surgery,18 East RoadBelgravia,Harare,-17.8567035,31.0601584,Exact / Approximate
C.G.Pharmacy,Shop 1A Mersey Building Parktown,Harare,-17.8567035,31.0601584,Exact / Approximate
Cairns Foods Industrial Clinic - Harare,Number 1 Upton Road,Harare,-17.875288,31.0233603,Exact / Approximate
Cairns Foods Industrial Clinic-Mutare,10Bvumba Road,Mutare,-18.974656,32.670473,Exact / Approximate
Calm Care and Beauty Family Health Care,4609Mangava,Beitbridge,-22.1986233,29.9917535,Exact / Approximate
Calundike Exports Clinic,171 Mupfuti RoadRuwa,Harare,-17.8567035,31.0601584,Exact / Approximate
Calvary Medclinic,27473 Dangamvura,Mutare,-19.0113955,32.5831055,Exact / Approximate
Calvary Renal and Dialysis Centre,No. 7 Simon Muzenda Street,Masvingo,-20.7453957,31.334138,Exact / Approximate
Cambridge Medical Centre,Stand 215Cambridge RoadAvondale,Harare,-17.8567035,31.0601584,Exact / Approximate
Cambridge Road Paediatrics,Number 14 Broadlands Road,Harare,-17.8567035,31.0601584,Exact / Approximate
Cambridge Road Paediatrics,4 Borrowdale RoadBorrowdale,Harare,-17.8567035,31.0601584,Exact / Approximate
Cambridge Road Paediatrics Emergency,Cambridge Road Entrance St Annes Hospital Stand 215,Harare,-17.8567035,31.0601584,Exact / Approximate
Campion Street Laboratory,Number 7 Campion Street,Kadoma,-18.3374033,29.9135021,Exact / Approximate
Cana Pharmacy,Stand No. 89 & 90Chinzanga Shopping Centre,Mutoko,-17.4262395,32.3581415,Exact / Approximate
Cancer Association of Zimbabwe,60 Livingstone Avenue,Harare,-17.8209049,31.0570521,Exact / Approximate
Cancer Health Clinic,8 Angus Close Avondale,Harare,-17.8567035,31.0601584,Exact / Approximate
Cande Medical Centre,5 4th Street,Marondera,-18.1906796,31.5409503,Exact / Approximate
Capital Ambulances PVT LTD,Stand Number 8819A Sante 24hr Hospital Shop Number 5Southerton,Harare,-17.8567035,31.0601584,Exact / Approximate
Capital Pharmacy - Domboshava,219 Chirodzero Business Centre,Domboshava,-17.6116701,31.1736252,Exact / Approximate
CAPS Pharmaceuticals (PVT) LTD,2Manchester RoadSoutherton,Harare,-17.8567035,31.0601584,Exact / Approximate
Cardinal Eye Care Clinic,Stand 987 Machipisa Highfield,Harare,-17.8567035,31.0601584,Exact / Approximate
Cardinal Healthcare Pharmacy,1746 Runyararo Shops,Harare,-17.8567035,31.0601584,Exact / Approximate
Care Link Medical Centre,8903Mkhosana,Victoria Falls,-17.922895,25.8476849,Exact / Approximate
Carefirst Pharmacy,106 Mainge StreetRimuka,Kadoma,-18.3374033,29.9135021,Exact / Approximate
Carefirst Pharmacy,Shop 5 Ngena Complex,Mberengwa,-20.477866,29.907072,Exact / Approximate
Carelink Pharmacy,Stand Number 62,Lupane,-18.9346723,27.7728319,Exact / Approximate
Carelink Pharmacy - Bulawayo,4338 Emakhandeni,Bulawayo,-20.1180978,28.5262826,Exact / Approximate
Carelink Pharmacy Hwange,Stand 2111 Empumalanga,Hwange,-18.8406624,26.7310154,Exact / Approximate
Caremark Pharmacy,Stand Number 60 Ngundu Business Centre,Ngundu,-20.8015291,30.8008761,Exact / Approximate
Caremart Pharmacy,"Shop Number 2, Kamfinsa Arcade 178 Arcturus Road, Greendale",Harare,-17.8567035,31.0601584,Exact / Approximate
Caremax Pharmacy,shop No. 13643Zengeza 2 shopping centreZengeza 2,Chitungwiza,-18.0143462,31.0726737,Exact / Approximate
Caremed Pharmacy,70-72 Greengrove DriveAthlone Park,Harare,-17.8567035,31.0601584,Exact / Approximate
Carepath Clinical Laboratory,19324 Zengeza 4,Chitungwiza,-18.0106207,31.0656989,Exact / Approximate
Careplus Pharmacy,Stand 1033 Gokwe Centre,Gokwe,-18.224982,28.953933,Exact / Approximate
Carepoint Pharmacy,Stand Number 675 42 Jason Moyo/Cnr Inez Terrace,Harare,-17.8567035,31.0601584,Exact / Approximate
Carepoint Pharmacy,"Stand Number 2380, 61 R.Mugabe WayShop 1",Harare,-17.8567035,31.0601584,Exact / Approximate
Carepoint Pharmacy,113 Mbuya Nehanda Corner Albion,Harare,-17.8567035,31.0601584,Exact / Approximate
Carepoint Pharmacy,"30 Robert Mugabe Way, Cnr Chinhoyi Street",Harare,-17.8567035,31.0601584,Exact / Approximate
Carepoint Pharmacy,19 Julius Nyerere Way,Harare,-17.8261222,31.0478736,Exact / Approximate
CarePoint Pharmacy,Stand 236329 Speke AvenueCnr J.Nyerere,Harare,-17.8567035,31.0601584,Exact / Approximate
Carestream Ultrasound,115 Fife AvenueCorner 3rd Street,Harare,-17.8567035,31.0601584,Exact / Approximate
Carewell Pharmacy,146 Mbuya Nehanda,Harare,-17.8363868,31.0423936,Exact / Approximate
Carewell Pharmacy,Shop 3Sanganayi Inn ShopsTynwarld,Harare,-17.8567035,31.0601584,Exact / Approximate
Carewell Pharmacy - Avonlea,Shop No. 9A Avonlea Shopping Centre,Harare,-17.8567035,31.0601584,Exact / Approximate
Carexpress Pharmacy,57Central Avenue,Harare,-17.8567035,31.0601584,Exact / Approximate
Carexpress Pharmacy - Southerton,35Lobengula RoadSoutherton,Harare,-17.8567035,31.0601584,Exact / Approximate
Carexpress Pharmacy-Harare,Shop 1332527 K.Kaunda Avenue,Harare,-17.8567035,31.0601584,Exact / Approximate
Caring Hands,591Manhenga Business Centre,Bindura,-17.2989727,31.3299701,Exact / Approximate
Carmentis Medical Centre,Exquisicare Medical Centre1&2 Larkrise RoadBorrowdale,Harare,-17.8567035,31.0601584,Exact / Approximate
Carnaud Metalbox Clinic,35-36 Cnr Auckland & Highfield Road Southerton,Harare,-17.8567035,31.0601584,Exact / Approximate
Cassims Prosthetics & Orthotics,107 Josiah Tongogara Avenue Corner 11th Avenue,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
CBD 24HR Medical Centre,158 Samora Machel Avenue,Harare,-17.8242061,31.0576987,Exact / Approximate
CBD 24HR Medical Centre,158Samora Machel Avenue,Harare,-17.8567035,31.0601584,Exact / Approximate
CBD Specialist Hospital Hemodialysis Unit,69 Central Avenue,Harare,-17.8243445,31.0525872,Exact / Approximate
CBD Specialist Hospital Maternity,69 Central Avenue,Harare,-17.8243445,31.0525872,Exact / Approximate
Cecil Chambers Dental Clinic,Suite 19Cecil Chambers Building89,Mutare,-18.974656,32.670473,Exact / Approximate
Cenda Eye Care,4 MIPFPumula Centre,Victoria Falls,-17.922895,25.8476849,Exact / Approximate
Cenda Eye Care Pvt Ltd- Bulawayo,shop 2 mimosa house9th Avenue & main street,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Centenary Pharmacy,239 Gatu Business Centre,Centenary,-16.730544,31.12109,Exact / Approximate
Central 24HR Accident & Emergency,21 Robson Manyika Avenue,Harare,-17.8330796,31.0511022,Exact / Approximate
Central City Clinic,89 Leopold Takawira Avenue,Harare,-17.8138657,31.0415593,Exact / Approximate
Central Park Dental Clinic,Suite 24 First Floor Central Park MallCnr 2nd Street and C Avenue,Mutare,-18.974656,32.670473,Exact / Approximate
Central Pharmacy - Mutare,69A Herbet Chitepo Street,Mutare,-18.974656,32.670473,Exact / Approximate
Centre for Diabetes Management,8097Belvedere NorthBelvedere Road,Harare,-17.8567035,31.0601584,Exact / Approximate
Centre for Diabetes Management Laboratory,40278Simbarashe CloseBelvedere,Harare,-17.8567035,31.0601584,Exact / Approximate
Centrepoint Pharmacy,148Samora Machel Avenue,Harare,-17.8567035,31.0601584,Exact / Approximate
Cerdavale Medical Clinic,845 Mubairo Road Hatcliffe,Harare,-17.8567035,31.0601584,Exact / Approximate
Cerdavale Medical Clinic,125 Kwane Nkurumah Ave,Harare,-17.8567035,31.0601584,Exact / Approximate
Chachacha Pharmacy,Shop number 85Chachacha Junction Mall,Shurugwi,-19.7542336,30.156915,Exact / Approximate
Chadcombe Medical Centre,"23 A Chadcombe Shops, Shop 4, Cloverly Road,",Harare,-17.8567035,31.0601584,Exact / Approximate
Chagwesha and Associates Occupational Therapists,1 Nurses Homeend Sir Denham roadBorrodaile Trust,Marondera,-18.190098,31.545542,Exact / Approximate
Chakadini Clinic,Mushapaidze VillageNenguwwo Area Ward 10,Marondera,-18.190098,31.545542,Exact / Approximate
Chams Ambulance Services,7852 Mangena LaneGlen norah A,Harare,-17.8567035,31.0601584,Exact / Approximate
Chams Medical Centre- Lab,7582 Mangena Lane Chitubu,Harare,-17.8567035,31.0601584,Exact / Approximate
Chams Medical Surgery,33 Area GGwenyambika ShopsMufakose,Harare,-17.8567035,31.0601584,Exact / Approximate
Chams Radiology and Ultrasound Scan,7582Mangena LaneGlennorah A,Harare,-17.8567035,31.0601584,Exact / Approximate
Channel Pharmacy - Masvingo,294 Mnangagwa St Street,Masvingo,-20.7453957,31.334138,Exact / Approximate
Channel Surgery,400 Robert Mugabe Way,Masvingo,-20.079094,30.8314367,Exact / Approximate
Chardley Clinic,53rd Street,Mutare,-18.9805999,32.6616493,Exact / Approximate
Charles Street Imaging Centre,581Charles Street,Chegutu,-18.1867654,30.39756,Exact / Approximate
Charloriet Rehab and Wellness Centre,42Boscobel East RoadHighlands,Harare,-17.8567035,31.0601584,Exact / Approximate
Charms Medical Centre,7582 Mangena Lane Chitubu,Harare,-17.8567035,31.0601584,Exact / Approximate
Charter House Medical Centre Hospital,77 Fort Street,Bulawayo,-20.1613241,28.5790407,Exact / Approximate
Charterbridge Pharmacy,Shop 6 Stand 504837-39/2nd Umtali Township,Mutare,-18.974656,32.670473,Exact / Approximate
Chasey Dental Surgery,7Milton Road,Kadoma,-18.3374033,29.9135021,Exact / Approximate
Chasiyatende Clinic - Chivi,P.Bag 527Chivi RDC,Chivi,-20.5051393,30.5699425,Exact / Approximate
Chayil Neuroscience Institute,Suite 11Westend Clinic13 Baines Avenues,Harare,-17.8567035,31.0601584,Exact / Approximate
Chayo Health Clinic,2068Lot 1 of Spitzkop,Zvimba,-17.3431736,30.4209716,Exact / Approximate
Checheche Angel Pharmacy,Stand 354Chechehche Growth Point,Chipinge,-20.6177688,32.3786847,Exact / Approximate
Checheche Premium Clinic,Stand 470 Checheche Business Centre,Chipinge,-20.6177688,32.3786847,Exact / Approximate
Checkline Medical Centre,4102Nharira View,Norton,-17.87454,30.695954,Exact / Approximate
Chegutu Dental Surgery,4038 Warwick Road,Chegutu,-18.1867654,30.39756,Exact / Approximate
Chegutu District Hospital,No. 1 Queen Street,Chegutu,-18.1339271,30.1458849,Exact / Approximate
Chegutu Nursing Home,No. 6 Wise Drive,Chegutu,-18.1326074,30.1502774,Exact / Approximate
Chegutu Pharmacy,89 Queen Street,Chegutu,-18.1339271,30.1458849,Exact / Approximate
Chegutu Population Maternity Home,2058 Maketa Heroes,Chegutu,-18.1867654,30.39756,Exact / Approximate
Chegutu RDC-Brunswick Clinic,Brunswick ClinicWard 24,Chegutu,-18.1867654,30.39756,Exact / Approximate
Chegutu RDC-Chikara Clinic,Chikara ClinicWard 1,Chegutu,-18.1867654,30.39756,Exact / Approximate
Chegutu RDC-Chivero Clinic,Chivero VillageWard 8Mhondoro,Chegutu,-18.1867654,30.39756,Exact / Approximate
Chegutu RDC-Dombwe Clinic,Dombwe Clinic Box 31Ward 15,Chegutu,-18.1867654,30.39756,Exact / Approximate
Chegutu RDC-Homedale Clinic,Homedale ClinicWard 12,Chegutu,-18.1867654,30.39756,Exact / Approximate
Chegutu RDC-Mafuti Clinic,-Mafuti ClinicWard 26,Chegutu,-18.1867654,30.39756,Exact / Approximate
Chegutu RDC-Mhondoro North Clinic,Mhondoro North ClinicWard 9Mhondoro,Chegutu,-18.1867654,30.39756,Exact / Approximate
Chegutu RDC-Mpawose Clinic,Mpawose ClinicWard 3,Chegutu,-18.1867654,30.39756,Exact / Approximate
Chegutu RDC-Rwizi Clinic,Rwizi Village MhondoroWard 2,Chegutu,-18.1867654,30.39756,Exact / Approximate
Chegutu RDC-Selous Clinic,Selous ClinicWard 11,Chegutu,-18.1867654,30.39756,Exact / Approximate
Chegutu RDC-Usmore Murambe Clinic,Usmore Murambe ClinicWard 23,Chegutu,-18.1867654,30.39756,Exact / Approximate
Chegutu RDC-Watyoka Clinic,Watyoka RHCBox 234Ward 7,Chegutu,-18.1867654,30.39756,Exact / Approximate
Chemayde Pharmacy,15Windermere LodgeMazowe Street,Mazowe,-17.506992,30.972948,Exact / Approximate
Chemukute Clinic,Kadoma City Councilbox 460,Kadoma,-18.3374033,29.9135021,Exact / Approximate
Chest Medical-Dr Parirenyatwa Surgery,19ST Quinton RoadEastlea,Harare,-17.8567035,31.0601584,Exact / Approximate
Chez Nous Surgery,54 Chez Nous BuildingCnr Jason Moyo and Forth Avenue,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Chibi - Turn Surgery,P.Bag 9028Ngomahuru Hospital,Masvingo,-20.7453957,31.334138,Exact / Approximate
Chibonda Dental Surgery,125Kwame Nkrumah Avenue,Harare,-17.8567035,31.0601584,Exact / Approximate
Chibonda Surgery- Kwame Nkrumah,125 Kwame Nkrumah Ave,Harare,-17.8265372,31.0546667,Exact / Approximate
Chibondo Clinic,302Chibondo,Hwange,-18.8406624,26.7310154,Exact / Approximate
Chicago Medical Clinic,Suite 4No. 143 Five Avenue Medical Centre,Harare,-17.8567035,31.0601584,Exact / Approximate
Chidamoyo Christian Hospital,Hurungwe District,Karoi,-16.8154713,29.6878665,Exact / Approximate
Chidawanyika Surgery,106 Prince Edward StMilton Park,Harare,-17.8567035,31.0601584,Exact / Approximate
Chidenga Clinic,Mutoko District Box 30,Mutoko,-17.4262395,32.3581415,Exact / Approximate
Chidiya Clinic,"Ward 26, Chizanga Village",Murewa,-17.646074,31.777541,Exact / Approximate
Chido Surgery,11408Kuwadzana Extension,Harare,-17.8567035,31.0601584,Exact / Approximate
Chifmatt Investments,36B First Street,Bindura,-17.2989727,31.3299701,Exact / Approximate
Chihaka Medical Practice PL,11 Main Street,Gweru,-19.4544999,29.8201743,Exact / Approximate
Chihoza Clinic - Pvt Ltd,Bag 509Mt Serinda HospMt Selinda,Chipinge,-20.6177688,32.3786847,Exact / Approximate
Chikanga Day & Night Clinic,Number 4707 Bernwin,Mutare,-18.974656,32.670473,Exact / Approximate
Chikara - Mudawarima Surgery,4 Cleveland AvenueMilton Park,Harare,-17.8567035,31.0601584,Exact / Approximate
Chikomba RDC-Bvumbura Clinic,Ward 19Bvumbura TownshipNharira Commanal Land,Chivhu,-19.0187032,30.8969497,Exact / Approximate
Chikomba RDC-Chambara Clinic,Ward 6,Chivhu,-19.0187032,30.8969497,Exact / Approximate
Chikomba RDC-Chivhu Clinic,Ward 10Chivhu Community Hall,Chivhu,-19.0187032,30.8969497,Exact / Approximate
Chikomba RDC-Gandami Clinic,Ward 2Gandami,Chivhu,-19.0187032,30.8969497,Exact / Approximate
Chikomba RDC-Gokomere Clinic,Ward 20Gokomere,Chivhu,-19.0187032,30.8969497,Exact / Approximate
Chikomba RDC-Lancashire Clinic,Ward 14Lancashire HQ,Chivhu,-19.0187032,30.8969497,Exact / Approximate
Chikomba RDC-Madamombe Clinic,Ward 15,Chivhu,-19.0187032,30.8969497,Exact / Approximate
Chikomba RDC-Masasa Clinic,Ward 17Mbiru Communal Lands,Chivhu,-19.0187032,30.8969497,Exact / Approximate
Chikomba RDC-Mbiru Clinic,Ward 17Mbiru,Chivhu,-19.0187032,30.8969497,Exact / Approximate
Chikomba RDC-Murezi Clinic,Ward 15Murezi Small Scale Farming Area,Chivhu,-19.0187032,30.8969497,Exact / Approximate
Chikomba RDC-Mushipe Clinic,Ward 30Matove -Save North Communal Lands,Chivhu,-19.0187032,30.8969497,Exact / Approximate
Chikomba RDC-Mutoro Clinic,Ward 4Wiltshire,Chivhu,-19.0187032,30.8969497,Exact / Approximate
Chikomba RDC-Nhangabwe Clinic,Ward 24Warikandwa,Chivhu,-19.0187032,30.8969497,Exact / Approximate
Chikomba RDC-Pokoteke Clinic,Ward 27Pokoteke Township,Chivhu,-19.0187032,30.8969497,Exact / Approximate
