Facility Name,Physical Address,City,Latitude,Longitude
Delyn Pharmacy,Stand Number 40A Main Street,Bindura,,
Delyn Pharmacy,8190 Kuwadzana 5,Harare,,
Dema Surgery,1551Makumbe ComplexDema Growth Point,Chitungwiza,,
Demacare Clinic: Medical Aesthetics & Laser Clinic,17225Kudu CloseBorrowdale West,Harare,,
Dematology Laser Centre,18 Phillips AvenueBelgravia,Harare,,
Dendera Clinic,Nyadire Mission HospitalWard 25,Mutoko,,
Denheal Clinic,464 Rainham FarmChesa Trading,Zvimba,,
Denovo Health Solutions T/A Premium Healthcare Laboratory,647Guinea Fowl Road,Chiredzi,,
Dental Plus Dental Surgery,21 Rekai Tangwena Winstone,Marondera,,
Dental Plus Dental Surgery,64 4th Street,Marondera,,
Dental 360,154 Moodie StreetLow Density,Chipinge,,
Dental Care Centre,"14th and Fife StreetRoom 4, Sunninghill Building",Bulawayo,,
Dental Implants and Prosthetic Centre,103 The Chase Mt Pleasant,Harare,,
Dental Plaza,13624 Zengeza 2 Shops,Chitungwiza,,
Dental Studio,11 Dunkirk Drive,Harare,,
Dental Zone,"Number 16130 Phillip Munosi Complex, Unit G",Chitungwiza,,
Dental Zone,Stand Number 43 Murisa Home Industry,Seke,,
Dentaville Private Limited,56 Speke Avenue,Harare,,
Dentcorp Dental Clinic,53Zvobgo Street,Masvingo,,
Dentifix Dental Surgery,56 Josiah Tongogara Between 4th & 5th Avenue,Bulawayo,,
Dentsky Dental Care,Shop 49 Madokero Mall 14567 Tynwald,Harare,,
Derbyshire Clinic Irvines,Henley Drive Extension,Harare,,
Desai H.S Surgery,Stand 492 Main Road,Marondera,,
DG Global Pharmacy,53 J Nkomo / 4th Avenue,Bulawayo,,
DG Pharmacy t/a Mkoba Pharmacy,Shop 6Mkoba 6 Complex,Gweru,,
Dhidhacto Family Clinic,Mutond TownshipMudzi District,Mudzi,,
Diagnopath Medical Laboratories,1751 Mutoko Road New Marlborough,Harare,,
Diagnopath Medical Laboratories - Parkade Byo,Suite 109 Parkade Centre Corner 9th Avenue & Fife Avenue,Bulawayo,,
Diagnopath Medical Labs,8 Robert Mugabe,Harare,,
Diagnostic and Interventional Radiology Center,42 Five Street Between 2nd and 3rd Avenue,Bulawayo,,
Diagnostic and Interventional Radiology Center,"Stand No. 309 BT, 42 Five Street, Between 2nd and 3rd Avenue",Bulawayo,,
Diagnostic and Interventional Radiology Centre,Parkvilla Medical Center7A 9th Avenue & R.G Mugabe Street,Bulawayo,,
Diagnostic Imaging Centre,17 Lanark Road,Harare,,
Diagnostic Imaging Centre,8Elsworth AvenueBelgravia,Harare,,
Diagnostic Imaging Centre-Avondale,17Lanark RoadBelgravia,Harare,,
Diagnostic Laboratory Services - Harare,2 Fairbridge Avenue,Harare,,
Diagnostic Laboratory Services Mater Dei,"Diagnostics Laboratory Services, Mater Dei Hospital, Burns Drive",Bulawayo,,
Diagnostic Laboratory Services-Bulawayo,Suite 502ALancet HouseDiagnostics Laboratory Services,Bulawayo,,
Diagnostic Medical Ultrasound Services,"502 Lancet House, 9th Avenue & J. Tongogara Street",Bulawayo,,
Diagnostic Pathology Centre,First FloorKilmanrock Building11th Avenue and Fife Street,Bulawayo,,
Diagnostic Pathology Centre-Harare,41Central Avenue Btwn 4th &5th Streets,Harare,,
Diagnostic Radiology & MRI Centre,104 Nelson Mandela Avenue,Harare,,
Diagnostic Radiology & MRI Centre,19Josiah Chinamano Avenue,Harare,,
Diagnostic Radiology and MRI Centre,Citimed Chitungwiza HospitalZengeza 4,Chitungwiza,,
Diagnostic Ultrasonography - Mabeleka,110 Fort Street,Bulawayo,,
Diagnostics Laboratory Service-Bulawayo,5 Street OfficeCnr 5Street/11th Avenue,Bulawayo,,
Diagnostics Medical Ultrasound Services,502 Lancet House 9th Avenue & J. Tongogara Street,Bulawayo,,
Diagnostics Radiology & MRI Centre,53 Josiah Chinamano Avenue,Harare,,
Diamond Medical Laboratories,137Kwame Nkrumah Avenue,Harare,,
Diamond Pharmacy,33 Robert Mugabe Way,Gweru,,
Diamond Pharmacy - Fourth Avenue,52 Jason Moyo Street,Bulawayo,,
Diamond Pharmacy Angwa,"5 Fedora House Cnr Angwa Street,Jason Moyo Avenue",Harare,,
Diamond Pharmacy Rezende,"2 Travlos House, Cnr Rezende Street and Jason Moyo Avenue",Harare,,
Diamond Pharmacy-Fifth Street,926-255th Street,Harare,,
Diamond Pharmacy-Kwame Nkrumah,Robinson House51Kwame Nkrumah Avenue,Harare,,
Diamond Pharmacy-Mutare,Stanbic House67 Herbert Chitepo Street,Mutare,,
Didier Smeets Sports Injuries Clinic,31 Argyle Road,Harare,,
Dietetic Practice,78 Cecil AvenueHillside,Bulawayo,,
Digestive Diseases Medical Centre,12Weale RoadMilton Park,Harare,,
Dilon Curis Diagnostic Laboratory,1914 AuthurstoneNSSA Area,Bindura,,
Dilon Curis Diagnostics,1 Ross AvenueBelgravia,Harare,,
Dilon Curis Diagnostics,Stand Number 123Southlea Hospital,Harare,,
Dilon Curis Diagnostics Laboratory,Stand 729-730 Old Canaan Highfields,Harare,,
Dilon Curis Diagnostics-Highfield,729-730Old Canaan Highfield,Harare,,
Dindi Clinic (Nyadire Mission Clinic),Box 30Ward 25,Mutoko,,
Dinson Iron and Steel Company Clinic,"Mushenjere Village, Nyikavanhu",Mvuma,,
Dis Pharm Pharmacy,1706 A Fife Avenue Shopping Centre,Harare,,
Dispharm Pharmacy,130 Chinhoyi Street,Harare,,
Dis-Pharm Pharmacy,242 Hogerty HillHatcliffe,Harare,,
Dis-Pharm Pharmacy Letombo,77 Amby DriveMasasa,Harare,,
Dispharm Pharmacy Pvt Ltd,100 Mutare RoadMsasa,Harare,,
Dis-smart Pharmacy,4Shonalanga DriveRochdale,Nyanga,,
Divine Health Centre,50 Harvey BrownMilton Park,Harare,,
Divine Pharmacy - Bulawayo,Shop 4 Cari Court JMN Nkomo Street,Bulawayo,,
Divine Pharmacy Fife Avenue,"1 Fifth Street, Athienitis Complex",Harare,,
Divine Pharmacy Kamfinsa,"Shop 1, 182 Acturus Road",Harare,,
Divine Pharmacy Mabelreign,"Shop 1 & 2 Stortford Parade, Mabelreign Shops",Harare,,
Dlamini Pharmacy,Nyachuru Business Centre C1961,Glendale,,
DMD Healthcare PVT LTD,Unit 2 Bay 2 Stand 18378 Mukuvisi Industrial Estate,Harare,,
Dmitry Dental Sugery,"Mater Dei Hospital , Burns DriveMalindela",Bulawayo,,
DMS Pharmaceuticals - Lifestyle Pharmacy Bulawayo,Shop 1St Andrews PlaceBradfield,Bulawayo,,
DNA Confidential Zimbabwe,106 Nelson Mandela Avenue4th Street,Harare,,
Doctor E.M Collins Surgery,3 Borrowdale Lane,Harare,,
Docville Medical Centre,2-6th AvenueMbare National,Harare,,
Dodwit Medical Centre,19Robert Mugabe Way,Harare,,
Domboshava Medical & Dental Pharmacy,221 Chirodzero Business Centre,Domboshava,,
Domhealth,51 Dublin RoadEmerald Hill,Harare,,
Donaks Healthcare and Aesthetics,24Cleveland RoadMilton Park,Harare,,
Doreen Lewis Pharmacy,Shop TC9Checheche,Chipinge,,
Doreen Lewis Pharmacy-Main Branch,Shop 213HChecheche,Chipinge,,
Dorowa Minerals Magamba Village Clinic,Box 1Dorowa,Dorowa,,
Downie Avenue Dental Surgery,18Downie AvenueAlexandra Park,Harare,,
Downtown Dental Surgery - Mutare,10 Jameson Street,Mutare,,
Downtown Pharmacy-Masvingo,Shop 7919Wilbey Street,Masvingo,,
Downtown Surgery - Mutare,10 Jameson Street,Mutare,,
Dozva Surgery,974th Street,Mutare,,
Dr K C Nyoni Dental,889 Israel Street,Zvishavane,,
Dr .A. Mapfumo Surgery,26 Blakiston Street,Harare,,
Dr A Chisada Surgery,38 Baines Ave,Harare,,
Dr A Chisada Surgery,165 Samora Machel Avenue,Harare,,
Dr A F Mukome Medical Practice,35 Central Ave,Harare,,
Dr A Patel & Operating Theatre,14 Angwa Street / Corner Robson Manyika,Harare,,
Dr A. Chinogureyi Imaging,46 Fife AvenueCorner Leopold Takawira,Harare,,
DR A. MACHEKA SURGERY,501 Haylet House 9th Avenue / Josiah Tongogara Street,Bulawayo,,
DR A. MACHEKA SURGERY,"Block I, Suite AMater Dei HospitalBurns Drive, Malindela",Bulawayo,,
Dr A. Marume,60 Baines Ave3rd Floor,Harare,,
Dr A. Ross,19 Lezard AvMilton Park,Harare,,
Dr A.F.Mukome Surgery-Grayhust,Suite 6 Greyhurst Building102 Nelson Mandela Ave,Harare,,
Dr A.M. Freemantle,No. 2 Selousville CloseChisipite,Harare,,
Dr A.Mthombeni Surgery,35Medical Centre8th Avenue/J.Tongogara Street,Bulawayo,,
Dr Aimme Ann Blumears - Chiropractic,3 Borrowdale LaneBorrowdale,Harare,,
Dr Allan Ngulube Surgery,58 Duncan RoadSuburbs,Bulawayo,,
Dr Anesu Musvosvi Surgery,92 Enterprise RoadHighlands,Harare,,
Dr B Manyika (Hillcrest Health) Surgery,Stand No. 19755 Unit DChitungwiza Town Centre,Chitungwiza,,
Dr B.K Moyo Surgery,Suite 5 Matherhurst Building95 Baines Avenue/ 2nd Street,Harare,,
Dr B.Macheka Surgery,Suite 154 George Silindika Avenue,Harare,,
Dr B.T Guzha Surgery,18 Lanark RoadBelgravia,Harare,,
Dr Bara Surgery,"Suite 7, 1st Floor Greyhurst Building, 102 Nelson Mandela, Corner 4th Street",Harare,,
Dr Brian Paketh Medical Rooms,1KopjeLobengula Avenue,Gweru,,
Dr Bwakura Memorial Surgery,132 Nelson Mandela Corner 6th Street,Harare,,
Dr C Mukori Surgery,73 - 6th Street,Gweru,,
Dr C Taguta Surgery,158 H. Chitepo/ L. TakawiraAnlar Court,Harare,,
Dr C. Changa Surgery-Zvishavane,19Acropol Building794 R Mugabe Way,Zvishavane,,
Dr C. Madembo Surgery,Number 6 Rowland Square Milton Park,Harare,,
Dr C. Maimba Surgery-X-ray Unit,13Shuvai Mahofa Street,Masvingo,,
Dr C. Sixpence Dental Surgery,"1445 Cnr Chinhoyi Street, Kwame Nkrumah Avenue",Harare,,
Dr C. Takundwa Surgery,155th Street,Marondera,,
Dr C.Changa's Surgery-Gweru,59-3rd Street,Gweru,,
Dr C.Maimba Surgery,53Robertson Street,Masvingo,,
Dr Careen Medsuite,37 Victoria DriveNewlands,Harare,,
Dr Chagonda's Surgery,1st Floor Albion Building Corner Robert Mugabe and Rezende Street,Harare,,
Dr Chaka X. R. Surgery,Std 244 Fred Jameson Street,Karoi,,
Dr Chakutuka,"First Mutual Medical Centre, 94 Central Avenue",Harare,,
Dr Charles Munyoro Surgery,1780 Runyararo,Ruwa,,
Dr Chidakwa C Practice,13Baines Avenue,Harare,,
Dr Chigwedere Surgery,Shop P2The PavillionWestgate,Harare,,
Dr Chikawonda Dental Surgery,Number 7Baines AvenueCnr Harare Street,Harare,,
Dr Chimchembere Surgery,No. 2 - 7th Street,Gweru,,
Dr Chimuka Tanaka Surgery,90 Prince Edward Milton Park,Harare,,
Dr Chinganga Surgery,50 HARVEY BROWN AVENUE,Harare,,
Dr Chinganga Surgery,146Herbert Chitepo Avenue,Harare,,
Dr Chinhara Orthodontics,103The ChaseMt Pleasant,Harare,,
Dr Chipo Gwanzura Rooms,29 Lawson AvenueMilton Park,Harare,,
Dr Chipo Gwanzura Rooms,11 Dunkirk AvenueAlexandra Park,Harare,,
Dr Chiware and Partners,89 Fife Avenue,Harare,,
Dr Collen Msasanure Orthopaedic Practice,102 Samuel Parirenyatwa & 10th Avenue,Bulawayo,,
Dr D. Battey,88 S. Parirenyatwa Street,Bulawayo,,
Dr D. Battey,Unit ZAMater Dei Complex,Bulawayo,,
Dr D. Sibanda Dental Surgery,135AGeorge Silundika Street14th/15th Avenue,Bulawayo,,
Dr Davidzo Murigo-Shumba Surgery,113A Josiah Tongogara,Bulawayo,,
Dr Davidzo Murigo-Shumba Surgery,29 Lawson AvenueMilton Park,Harare,,
Dr Dennis Sibanda,29Fife Avenue,Harare,,
Dr Dondo Surgery - Kwekwe,Stand No. 8063 Amaveni Road,Kwekwe,,
Dr E Zhou Opthalmic Eye Clinic,5 Fanum HouseAAZ Building Leopald Takawira Avenue,Bulawayo,,
Dr E. Masanga Surgery,29 Lawson AvenueMilton Park,Harare,,
Dr E. Masanga Surgery,"31 Baines Avenue, Suite 1 Firswoods Flats",Harare,,
Dr E.Hlatshwayo Surgery,387R.Mugabe Way,Masvingo,,
Dr E.K. Health Chiropractic Rooms,38 Townsend Road Suburbs,Bulawayo,,
Dr E.T.Mberi Surgery,6Deary AvenueBelgravia,Harare,,
DR Edgar .T.Maruba,8 Elseworth AvenueCnr 2nd StreetBelgravia,Harare,,
Dr Edwin Kuzomunhu-Dental Surgery,5Towers Complex 37 R.Mugabe,Mutare,,
Dr Emmanuel Lunga Surgery,Suite 1 Avonlea Shopping CentreGreencroft,Harare,,
Dr Emmanuel Lunga Surgery,964 Machipisa Shopping CentreHighfield,Harare,,
Dr Enesia Ziki,11 Lanark Road Belgravia,Harare,,
Dr Evans T. Chinganga Surgery,50 Harvey Brown AvenueMilton Park,Harare,,
Dr F. Danha Dental Surgery,Suite 4Magamba WayTM Complex,Chinhoyi,,
Dr F. J. J Douie and Partners General Practice,106Prince Edward StreetMilton Park,Harare,,
Dr F. Manjeya Surgery,33-6th Street,Gweru,,
DR F.M Chiwora Surgery,405 Lancet House9th Avenue,Bulawayo,,
Dr F.S Moyana & Associates,60 Baines Avenue,Harare,,
Dr Faith Masanganise Surgery,32 Josiah Tongogara Avenue,Harare,,
Dr Felly Surgery,Suite 401Lancet House 4th FloorCnr 9th & J. Tongogara,Bulawayo,,
Dr Fiona T. Nhari,Unit 2 Suite B MaterDei HosptitalBurns Drive,Bulawayo,,
Dr Fungi Mazhandu Surgery,31 Rhodesville AvenueHighlands,Harare,,
Dr G. C Tsododo Medical Practice,"Number 76, 8th Street",Gweru,,
Dr G. Saungweme Surgeries-Harare,60Baines Avenues,Harare,,
Dr Glieman,10 Fife Avenue,Harare,,
Dr Gloria Mthupha Surgery,Suite 1 Medical CentreJosiah Tongogara Street / 8th Avenue,Bulawayo,,
Dr Grant Murewanhema Surgery,50 Harvey Brown AvenueMilton Park,Harare,,
Dr Gwetu Rooms,Suite 3David Mansions96 Robert Mugabe Way,Bulawayo,,
Dr H Chikadaya - Harare,112 H. Chitepo,Harare,,
Dr H Mungani Surgery,90Fife Avenue,Harare,,
Dr Heather Geigert,78The ChaseMt Pleasant,Harare,,
Dr Hedwick Dzvore Surgery,365 BT15-14th Avenue,Bulawayo,,
Dr Hilary Makiwa T/A Medfirst,16 Murambi Drive,Mutare,,
Dr Hilda A Mujuru Surgery,13 Fife Avenue,Harare,,
Dr I Mbendera Surgery,42 4th Street,Kwekwe,,
Dr Isaac Mutengwa Surgery,150St Patricks RoadHatfield,Harare,,
Dr J. Chirengwa Surgery,29970 Kirton Street,Masvingo,,
Dr J. Joseph Surgery,Suite 5 Westend Clinic13 Baines Avenue,Harare,,
Dr J.H Posen& Dr J.L.Stack Surgery,109Josiah Chinamano Avenue,Harare,,
Dr J.Moyo Surgery,Suite 21Medical Centre8th Avenue/J.Tongogara Street,Bulawayo,,
Dr J.Tayi Surgery,No. 59 3rd Street,Gweru,,
Dr Japheth Manungo Surgery,13 Fife Avenue,Harare,,
Dr Jima Surgery,8 Elseworth RoadAlexandra Park,Harare,,
Dr Josaya Tayi Surgery,No. 11 Motherland8th Street,Gweru,,
Dr K. Grabowska Surgery,Number 4 Cleveland AvenueMilton Park,Harare,,
Dr K. Noko - Specialist Physician Surgery,402 Halyet House9th Ave,Bulawayo,,
Dr K. Nyanzira Surgery,16 7th Extension Street Windsor Park,Gweru,,
Dr K. Rutsito Dental Clinic,"Shop MK 21, Westgate Shopping ComplexWestgate",Harare,,
Dr Kawome Surgery,Suite 7102 Nelson Mandela Avenue,Harare,,
Dr Kudakwashe Karaga Surgery,11 Dunkirk Drive Alexandra Park,Harare,,
Dr Kusotera Surgery,Suite 3 Westend Clinic,Harare,,
Dr Kutsukutsa- Bulawayo ENT Specialist Clinic,Stand No. 593A J. Tongogara & 9th Avenue2nd Floor Halylet House,Bulawayo,,
Dr L. Banda Surgery,176th Street,Gweru,,
Dr L.M. Sibanda Surgery,Suite 301 Haylet House,Bulawayo,,
Dr Linda Kamuzangaza Surgery,3 Borrowdale LaneBorrowdale,Harare,,
Dr M Chatambudza Surgery,First Floor (Medical Chambers) 60 Baines Avenue,Harare,,
Dr M Hukuimwe Practice,53 Baines Avenue,Harare,,
Dr M Ndlovu Surgery,401 Lancet HouseJ. Tongogara/9th Avenue,Bulawayo,,
Dr M Nyakura Rooms,No. 5020 ChinotimbaChinotimba Medical Centre,Victoria Falls,,
Dr M. B Gonga Surgery-Machipisa,4117Machipisa Shopping Centre Highfield,Harare,,
Dr M. Chiwanza Surgery,82 George SilundikaCnr 6th Street,Harare,,
Dr M. Kasekete Surgery,8 Elseworth Road/2nd Street ExtensionBelgravia,Harare,,
Dr M. Masunda Dental Surgery,37 Victoria DriveNewlands,Harare,,
Dr M. Mhlanga Surgery,37 Baines Avenue,Harare,,
Dr M.B Gonga Surgery,137Nelson Mandela Avenue,Harare,,
Dr M.Chiware Surgery,89Fife Avenue,Harare,,
Dr M.D.Madzima,144 Herbert Chitepo Avenue,Harare,,
Dr M.F Gova Practice,142Herbert Chitepo Avenues,Harare,,
Dr M.G.Madziyire Rooms,24Rowland SquareMilton Park,Harare,,
Dr Madhovi Surgery,40 Josiah Tongogara Avenue,Harare,,
Dr Madondoro Surgery,51A Herbert Chitepo/ 3rd Ave,Bulawayo,,
Dr Mahomva & Partners,236 Samora Machel AvenueEastlea,Harare,,
Dr Maitazvenyu Mvere Surgery,28 Cleveland AvenueMilton Park,Harare,,
Dr Majangara Surgery,1272Sunway CityVentersburg,Harare,,
Dr Makanza - Mazike Surgery,20 Bath RoadAvondale,Harare,,
Dr Maksimovic Aleksandra Surgery,29Duncan Road Surburbs,Bulawayo,,
Dr Makunura Surgery,Stand 16072 Unit GSeke,Chitungwiza,,
Dr Manasa Mandizvidza Dental Surgery,Stand 991,Nyanga,,
Dr Manatsa Chimhamhiwa,11 Lanark Road Belgravia,Harare,,
Dr Mandla Vundla Surgery,Stand 2281 24 - 8th Avenue Bulawayo,Bulawayo,,
Dr Manyere Surgery,3Dungarvon West RoadBorrowdale,Harare,,
Dr Manyika Surgery,Shop 206E2nd FloorJoina City Building,Harare,,
Dr Mapanga Surgery,40Josiah Tongogara Avenue,Harare,,
Dr Mapanga Surgery,24 Cleverland AvenueMilton Park,Harare,,
Dr Martin Fungura Surgery,"Junior Complex, Shuvai Mahofa Cnr Rekai Tangwena",Masvingo,,
Dr Masendeke Gyncare,Suite 6 Westend Clinic ExtensionJulia Court Cnr Baines/ Harare St,Harare,,
Dr Mashingaidze Surgery,9186 Gymkhana Grounds,Gweru,,
Dr Matara Surgery,11125 Chinhoyi Rank,Chinhoyi,,
Dr Mataruse Surgery,36 Harvey BrownMilton Park,Harare,,
Dr Maticha Surgery,26Blackiston Street/Corner J.Chinhamano,Harare,,
Dr Matindi & Dr Swene Surgery,15Robert Mugabe Way,Bulawayo,,
Dr Matsa Practice,19 Mold CrescentKensington,Harare,,
Dr Matsvayi Surgery- X-ray Unit,19 Robert Mugabe Way,Rusape,,
Dr Max Patana Rooms,"400 Haylet House, 9th Avenue/ J. Tongogara Street",Bulawayo,,
Dr Mel's Surgery,Chitown BuildingOffice 2Corner 5th and Robert Mugabe,Mutare,,
Dr Mhongovoyo Surgery,Stand Number 11564,Chinhoyi,,
DR Michael Temera Dental Practice,Stand 897 Turf Business Centre,Ngezi,,
Dr Mirriam Anesu Makanje Surgery,8Elseworth RoadAlexandra Park,Harare,,
Dr Mlilo.L.Surgery,31Medical Centre8th Avenue/J.Tongogara Street,Bulawayo,,
Dr Morgan Chiropractor,Thrive Health and Performance 170 The Chase Groombridge,Harare,,
DR MPOFU SURGERY,27 Baines Avenue4,Harare,,
Dr Mtizwa Surgery,137 Kwame Nkrumah Ave,Harare,,
Dr Mudzengerere Surgery,Shop 3 5336 Midway,Chinhoyi,,
Dr Mufukari Surgery,19Mold CresentKensington,Harare,,
Dr Mungazi Rooms,37Victoria DriveNewlands,Harare,,
Dr Mureyani Surgery,20 Sixth Street,Gweru,,
Dr Mureyani Surgery,34 Sixth Street,Gweru,,
Dr Mushede Surgery,Stand 889Israel Street,Zvishavane,,
Dr Mushunje Paediatric Surgery Practice,128Robert Mugabe Way,Bulawayo,,
Dr Muteweye Surgery,Suite 2119 Baines Avenue,Harare,,
Dr Muzvuru & Partners Dental Surgery,387 Robert Mugabe Way,Masvingo,,
Dr N. Mawere Surgery,113Tongogara Street /12TH Avenue,Bulawayo,,
Dr N. Chitohwa,19 Baines Avenue,Harare,,
Dr N.A.S.Syed & Dr.P.H.Rebelo Surgery,No.4Koefman Plot Mbare,Harare,,
Dr N.Chokuda Mhlanga,48 Herbert Chitepo/3rd Avenue,Bulawayo,,
Dr N.F Simango Surgery,15 Baines Avenue,Harare,,
DR Nangisai Mutare,11 Dunkirk Drive Alexandra Park,Harare,,
Dr Nasir Shagufta Surgery,52Baines Medical Centre,Harare,,
Dr Nathaniel H.S Zimani Surgery,17Lezard AvenueMilton Park,Harare,,
Dr Ngarivume Surgery,Suite 343rd FloorMedical Centre,Bulawayo,,
Dr Ngarivume Surgery-Victoria Falls,827Aerodrome,Victoria Falls,,
Dr Nigel Dzvanga,2nd FloorHaylet House9th Ave/J.Tongogara Street,Bulawayo,,
Dr Njau Surgery,Railmed House Numbe 6 - 8th Avenue / J.Tongogara,Bulawayo,,
Dr Ntoto Surgery,Suite 8Calenstel BuildingCorner 11th Avenue & Samuel Parirenyatwa Street,Bulawayo,,
Dr Ntoto Surgery,"Mater Dei Hospital Unit 3ANumber 1 Burns Drive, Malindela",Bulawayo,,
Dr Nyakanda Surgery,24 Rowland SquareMilton Park,Harare,,
Dr Nyamutowa,24- 8th AvenueStand Number 2281BT,Bulawayo,,
Dr Nyasha Chari,Suite 2Citimed HospitalStand 14656,Chitungwiza,,
Dr O. Mabaleka,110 Fort StreetRoyal Building,Bulawayo,,
Dr O.F Afeki Dental Surgery,148 Chinhoyi Street,Harare,,
DR Olga Fillipa Nel-Clinical Psychology,1 Walmer DriveNewlands,Harare,,
Dr P Magwenzi Surgery,169A123Baines Avenue,Harare,,
Dr P Mawere Surgery - Byo,128 R.Mugabe Way,Bulawayo,,
Dr P. Chhanabhai,19 Joshua Nkomo Street,Bulawayo,,
Dr P. Chinoputsa & Associates,130 Herbert Chitepo Avenue,Harare,,
Dr P. Kwangwadzai Surgery,5 Duxbury RoadBradfield,Bulawayo,,
Dr P. Zvandasara Surgery,Room 6 13 Baines Avenue,Harare,,
Dr P.D. Parirenyatwa,84Tafara WayNew Mabvuku,Harare,,
Dr P.Karidza Surgery,123Baines Avenue,Harare,,
Dr P.N. Moyo,10490 Kuwadzana 5 Shopping CentreKuwadzana,Harare,,
Dr Pamela Nyoni's Dental Surgery,2 kilmanorckbldn611th Avenue/Fife Street,Bulawayo,,
Dr Patience Mavunganidze Surgery,52East RoadBelgravia,Harare,,
Dr Pfumojena Surgery,36 Harvey Brown AvenueMilton Park,Harare,,
Dr Priscilla Zimani,Number 3 Borrowdale Lane Borrowdale,Harare,,
Dr R Gwini Surgery,122 J. Tongogara St,Bulawayo,,
Dr R. Markarian Dental Surgery,59 Chruchhill AvenueAlexandra Park,Harare,,
DR R. O. Wellbeck Surgery,96Fife Avenue,Harare,,
Dr R.A.Cowper Surgery,27 Lanark RoadAvondale,Harare,,
Dr Radan Valcic Practice,60 Baines Avenue,Harare,,
Dr Rumhizha Rooms,7Cherylyn Court Avenues ClinicCorner Mazowe Street/j.Chinamano,Harare,,
Dr Runodada Surgery,69 Central Avenue,Harare,,
Dr Ruth O. Welbeck,"7 Windmere Flats, Mazowe Street",Harare,,
Dr S Moyo Surgery,110 Fort Street/ 9th AvenueRoyal Building,Bulawayo,,
Dr S Ndebele Surgery,Suite 32 Medical Centre,Bulawayo,,
Dr S. Chisiyiwa Surgery,"Suite 27, 2nd FloorOld Sasu Building",Mutare,,
Dr S. Maenzanise,8 Elsworth Road Alexandra Park,Harare,,
Dr S. Muzambi Surgery,50 Harvey Brown AvenueMilton Park,Harare,,
Dr S.S Nasir,3rd FloorMedical Chambers60,Harare,,
Dr S.T Mazhude Surgery,959 MachipisaHighfield,Harare,,
Dr Saiko Mangombe Surgery- Masvingo,Shop B1Stand No. 113 Junior Complex,Masvingo,,
Dr Shiri's Surgery,Suite 383rd Floor 52,Harare,,
Dr Simba Mungazi Surgery,28Cleveland Avenue,Harare,,
Dr Simbarashe Raphel Masokwedza Surgery,House Number 17328 Ngoni Township,Norton,,
Dr Solomon Mutetwa Surgery,23Caithness RoadEastlea,Harare,,
Dr T Chapfuwa & Partners T/A Maurine Court Services,1 Maureen Court 4th Avenue and JMN Nkomo,Bulawayo,,
Dr T S Chinogurei,14565 Hadzinanhanda RoadZengeza 4,Chitungwiza,,
Dr T. Maboreke,22 Five AvenueCorner Blakiston Street,Harare,,
Dr T. Nyaumwe Surgery,224 Herbert Chitepo,Harare,,
Dr T.P Thatha Surgery,"Suite 5b Mater Dei Hospital, Burns DriveMalindela",Bulawayo,,
Dr T.P. Thatha Surgery,21a Connaught Avenue,Bulawayo,,
Dr T.T Ndebele's Surgery,662nd Street,Gweru,,
Dr T.T.Mustvanga Clinic,897 TurfNgezi District Council,Ngezi,,
Dr Tanaya Surgery,95Herbert Chitepo,Mutare,,
Dr Tanya. Chimhondo Surgery,20 Bishop GaulBelvedere,Harare,,
Dr Tapiwa Munyaradzi Gwinji,4 Cuba Avenue Mount Pleasant,Harare,,
Dr Taruvingira. A.K Surgery,39 Lanark RoadAvondale,Harare,,
Dr Tatenda Nyagura-Mangori Surgery,No. 8 Elsworth AvenueSecond Street Extension Belgravia,Harare,,
Dr TG Manenji Surgery,19Mold CresentAvondale,Harare,,
Dr Tichaona Mabvadya Surgery,"Suite 1B Westend Clinic, 13 Baines Avenue",Harare,,
Dr Titus Dzongodza ENT Surgery,123 Baines Avenue,Harare,,
Dr Tracy Musarurwa-Pediatrics In A Pod,45Fife AvenueLiyandra Medical Rooms,Harare,,
Dr Tsikira Surgery,Number 27 Banes Avenue,Harare,,
Dr V Dondo Mashoko Surgery,19 Divine Road,Harare,,
Dr V.M.Moyana,5 Kilmarnock BuildingCnr Fife Street and 11th Ave,Bulawayo,,
Dr W Musiya's Dental Practice,1 Thornton AvenueParkview,Bulawayo,,
Dr W. F Mudombi Surgery,"12 Weale Road, Milton Park",Harare,,
Dr W. Mushiwokufa Surgery-Gweru,3 School Avenue,Gweru,,
Dr W. Ndebele Surgery,110 Fife Street / 11th Avenue,Bulawayo,,
Dr W. Ranga Surgery,44A George Silundika,Bulawayo,,
Dr W. Sibanda Dental Surgery,801 Old Mutual CentreJ Moyo & 8 Avenue,Bulawayo,,
Dr Walter Mangezi Surgery,18 Cleveland Road,Harare,,
Dr Walter Mangezi Surgery,32 Josiah Tongogara Avenue Milton Park,Harare,,
Dr Walter Mutindori Family Surgery,44Chingaira Street,Rusape,,
Dr Wayne Manana Surgery,9 Lawson AvenueMilton Park,Harare,,
Dr William Makore,Suite Number 39Medical Centre52,Harare,,
Dr William Mawoko Surgery,50 Harvey Brown Avenue Milton Park,Harare,,
Dr Z.M Mutsemi Surgery,115 Upper Third Street,Mutare,,
Dr. A Chingwena & Associates,"87 Fife Avenue, Cnr Fife & Mazowe Street",Harare,,
Dr. A Mazire's Surgery,19 Baines Avenue,Harare,,
Dr. A Musara,"7 Baines Avenue, Westend Clinic Extension, Suite 5",Harare,,
Dr. A.J Gunning,3 Knight Bruce Road,Harare,,
