facility name,physical address,city
Dr. P Kuona Surgery,"109 Josiah Chinamano Avenue, Cnr 3Rd Street",Harare
Dr. P Mhaka Surgery,165 Samora Machel Corner 7Th Street,Harare
Dr. P.K Runyowa Surgery,"Fife Avenue Medical Centre, Room 12 - 2Nd Floor, 5Th Street / Fife Avenue",Harare
Dr. Peter Mataruse Surgery,"Number 10, Magamba Way",Chinhoyi
Dr. Phil Surgery,52 Josiah Chinamano Avenue,Harare
Dr. R.C.Davies Practise,58Quorn Avenuemt.Pleasant,Harare
Dr. Rumbidzai A Dombo Surgery,169 Samora Machel Avenue,Harare
Dr. Rumbidzai Makoni Surgery,"Number 45 Fife Avenue, Cnr Leopold Takawira",Harare
Dr. S Farayi Surgery,45 Five Avenue,Harare
Dr. S Mukonoweshuro Surgery T/A Ultra-Med Clinic,126 Kwame Nkrumah Avenue,Harare
Dr. S.K Chivanga Surgery,7A 9Th Avenue Between R.G Mugabe & J. Tongogara,Bulawayo
Dr. S.M.O Saka Dental Surgery,"301 Lancet House, 9Th & Josiah Togogara",Bulawayo
Dr. Shennan Clinic - Byo City,Kinmont Avenuebarham Green,Bulawayo
Dr. Sibusiso Matchaba Surgery,37 Baines Avenue,Harare
Dr. Swene & Dr. Matindi Surgery,15 Robert Mugabe Way,Bulawayo
Dr. T Chimhondo Surgery,14 Angwa Streetcnr Robson Manyika Avenue,Harare
Dr. T Chiwanga Surgery,"53 Baines Avenue, Harare",Harare
Dr. T G Chigonda Medical Rooms,15 Baines Avenue,Harare
Dr. T Moyo Surgery,40 Josiah Tongogara Avenue,Harare
Dr. T.L Magwali Surgery,Number 16 Josiah Tongogara Avenue,Harare
Dr. T.L Mupfuwahuku Surgery,"11A Bahadur Building, Cnr 3Rd Street / 1St Avenue",Kwekwe
Dr. Taremba Surgery,Stand 312 Cbd 1Checheche Growth Point,Chipinge
Dr. Ticklay - Baby Clinic,53 Baines Avenue,Harare
Dr. V Mashanda - Maboreke Dental Practice,"Block 2, Corner Burton & Princess Roadsbelvedere Square",Harare
Dr. V.S Raju Consulting Rooms,44 Josiah Tongogara Avenue,Harare
Dr. Vimbayi Makanza Surgery,"Suite 1 Westend Clinic, 13 Baines Avenue",Harare
Dr. Virginia Masunda Surgery,"Suite 1, 102 Nelson Mandela Avenue, Grayhurst Building",Harare
Dr. W. Chiduku Dental Surgeries,"12 Windemere Lodge, Mazowe Street Fife Avenue",Harare
Dr. X.R. Chaka X-Ray Unit,244 Fred Jameson Street,Karoi
Dr. Z.K Sirdar Radiology Centre,88 Josiah Chinamano Avenue,Harare
Dr. Zihove Surgery,Stand Number 46 Edson Zvobgo Street,Masvingo
Dr.A Dube Surgery,"Stand, Number 997/8Parichi Complexlight Industry",Chiredzi
Dr.G.Z.Chitiyo Surgery,3Hermes Courtderry Circle,Harare
Dr.H Dube Dental Surgery,19R.Mugabe Way,Harare
Dr.H.Rambanapasi Surgery,3Rd Floorstanbic Building Jmn Nkomo And 8Th Avenue,Bulawayo
Dr.R. Nzvenge(Msc),8 Elseworth Roadalexandra Park,Harare
Dreams Clinic,24977 Kaguvi Phase 3,Chegutu
Drennan Clinic - Mutare,Drennan Estatepenhalonga,Mutare
Driefontein T.B.Hospital,Driefontein Hospitaldriefontein Missionchirumhanzu,Mvuma
Drug Blend Pharmacy Private Limited,115 Five Avenue / Corner 3Rd Street,Harare
Drug Inn Pharmacy,6275Fred Jameson Street,Karoi
Druginn Chiedza Pharmacy,2375 Chiedza,Karoi
Drugmart Pharmacy,Stand 238 Mapereke Murewa Growth Point,Murehwa
D-Teg Radiology Centre,14507/11Mbizo,Kwekwe
D-Teg Radiology Centre Ultrasound Unit-Kwekwe,14507Section 11Mbizo,Kwekwe
Dube & L. Ncube,172Nd Avenue/Fife Street,Bulawayo
Dube H Dr Dental Surgery,694Budiriro 1 Shopping Centre,Harare
Dulivhadzimu Pharmacy,2855Dulibadzimu Township,Beitbridge
Dulivhadzimu Surgery,1556 Dulivhadzimu,Beitbridge
Dulux Industrial Clinic,11042 Highfields Roadsoutherton,Harare
Dunameon Clinic,2068 Southlea Park,Harare
Dunsisane Clinic,The Wattle Company Penhalonga Estates,Mutasa
Dusky Pharmacy,7964 Kuwadzana 6 Shopping Centre,Harare
Dx Centre - Machipisa,2694 115Th Streetjerusalem Highfields,Harare
Dx Centre Mobile Unit,5 Josiah Chinamano Avenue,Harare
Dx Centre Surgery,5Josiah Chinamano Avenue,Harare
Dx Chinamano Avenue X-Ray Centre,5 Josiah Chinamano Avenue,Harare
Dx City Centre-X-Ray And Ultrasound Unit,6Foundation Courtcorner Park Street And Kwame Nkrumah Ave,Harare
Dynacare Laboratories,29 Mazowe Street Avenues,Harare
Dzivarasekwa Extension Medical Centre,5019Dzivarasekwa Extension,Harare
Dzivarasekwa Pharmacy,Stand 9057,Harare
Dzivarasekwa Surgery,Stand No. 3836Dzivarasekwa 2,Harare
E. Gwenhamo Surgery,6247 Mkhosana,Victoria Falls
E. Gwiza Surgery,4032 Stones Shops,Harare
E.F Watson Clinic - Mpopoma,Nkulumane Road,Bulawayo
E.M.C Surgery,39 Baines Avenue,Harare
Eaglehut Pharmacy- Beatrice,25 Beatrice Puma Service Station,Beatrice
Ear Nose And Throat Healthcare,50 Harvey Brown Avenuemilton Park,Harare
Ear Nose Throat Clinic,72 George Silundika Avenue,Harare
"Ear, Nose And Throat Clinic","Cbd Specialist Hospital, 158 Samora Machel Avenue",Harare
East Isle Pharmacy-Ngezi,899Turf,Ngezi
Eastcare Pharmacy,37B Main Street,Chipinge
Eastend Dental Surgery,60 George Silundika Ave,Harare
Eastend Occupational Therapy Centre,60 George Silundika / 5Th Tafara Building,Harare
Eastern Highlands Trust,29George Silundika Street,Mutare
Eastern Maternity Clinic,538Castle Base Road,Rusape
Eastern Optical Centre,85 Herbert Chitepo Street,Mutare
Eastgate Dental,Shop 45D Eastgate Shopping Cmplex,Harare
Eastgate Medclinic,"Eastgate Shopping Complex, Stand Number 17899, Shop 36C",Harare
Easthetic Dental Laboratory,605 Cornmarket Twinlakes Park,Norton
Eastlea Centre For Endocrinology And Diabetes,"33 Northampton Crescent, Eastlea",Harare
Eastlea Pharmacy,Shop Number 3 Patmar House Selkirk Road,Harare
Eastroad Back & Sports Physiotherapy Clinic,26Eastroadbelgravia,Harare
Eastroad Back And Sports Injury Clinic,26East Roadbelgravia,Harare
Eastrock Pharmacy,"Shop 2, 54 Herbert Chitepo",Mutare
Eastview Medical Centre,6848Chimanimani Roadzimre Park,Ruwa
Eastview Medical Centre Ext,Number 27275 Zimre Park,Ruwa
Ebenezer Clinic,7437Mkoba 6,Gweru
Ebenezer Impali Clinic,17 Trogan Roadimpali,Shurugwi
Ebenezer Pharmacy - Southerton,"Shop 2Post Office, Building Cnr Lobengula / Highfields Rd Southerton",Harare
Ecosurgica,2 Natal Road,Harare
Ecosurgica-Belgravia,2Natal Roadbelgravia,Harare
Edan Medical Labs International,"3810 Nhoro Road, Old Windsor Park",Ruwa
Edan Medical Labs International,60 George Silundika Avenue Cnr 5Th Street,Harare
Edan Medical Surgery,Corner 5Th Street & George Silundika Avenue,Harare
Eden Medical Centre,Ganyani Storesmandamabwe,Chivi
Eden Medical Clinic,Eden Children'S Village Stand 212 Doma,Mhangura
Eden Surgery,Stand No. 35 Wadzanai Business Centre,Shamva
Edge Health Laboratory,12Siegnery Road,Chegutu
Edgiray Investments Pvt Ltd T/A Hometown Pharmacy,Shop 9Corner R.Mugabe & H.Chitepo,Rusape
Editors Occupational Therapy Centre,139 Nelson Mandela,Harare
Eiffel Flats Satelite Clinic,36 Herbert Chitepo Street,Kadoma
Eland Hob House Clinic,2953 Hobhouse 3,Mutare
Eland Private Hospital,91 3Rd Street,Mutare
Elephant Hills Resort Clinic,Number 382 Parkway Drive,Victoria Falls
Elevate Physiotherapy Clinic,4 Lona Closeborrowdale,Harare
Elevate Physiotherapy Clinic,69 Josiah Chinamano Avenue,Harare
El-Flo Taporeswa Health Care Centre,Stand Number 19733Unit O Taita Shopsseke,Chitungwiza
Elim Mission Hospital,Elim Mission Hospital,Nyanga
Elim Mission Hospital,P.Bag 2007,Nyanga
Elite Care Medical Centre,Stand Number 5078 Izayi Park,Zvishavane
Elite City Clinic,24Grey Street,Chegutu
Elite Dental Surgery,Stand Number 8786 St Mary'S Huruyadzo Shops,Chitungwiza
Elite Radiology,93Fife Avenue,Harare
Elivis Pharmacy,1211 Growth Point,Wedza
Elixa Pharmacy-Masvingo,Stand 530 Neshuro Townshipmwenezi,Masvingo
Ello Opticians,"27 Fife Ave, 2 Albany Court",Harare
Elmshaven Pharmacy,2774Amaveni Shopping Centre,Kwekwe
Elroy Pharmacy,20 Kembo Complex Dzivarasekwa Extension,Harare
Els Pharmacy,"Shop 2368, Kilwinning S/C, Kilwinning Road",Harare
Elvington Gold Mine Clinic,Giant Eastatesbox 357Gadzema,Chegutu
Emajex Medical Imaging Centre,1 Ross Avenuebelgravia,Harare
Emakhandeni Clinic,Stand Number 4198,Bulawayo
Emask Surgery,11Libuyu Streetheights,Kariba
Embakwe Mission Hospital,Embakwe Mission Hospitalembakwe,Plumtree
Emcare Ambulance Service(Pbc),5783Warren Park D,Harare
Emerald Pharmacy,Stand Number 956A68-70 Kwame Nkrumah,Harare
Emergency Eye Clinic-Bulawayo,17Robert Mugabe Waypark View,Bulawayo
Emergency Pharmacy,88 Robert Mugabe Way,Bulawayo
Emergency Response 24/7,2293Amkoba 7,Gweru
Emergency Rooms 24,53 Josiah Chinamano Avenue,Harare
Emergency Rooms 24 Ambulance Services,54 Josiah Chinamano,Harare
Emganwini Family Clinic,Stand No. 6774Emganwini Shopping Centre,Bulawayo
Emma Scott Bokinectics,56 Kingsmead Road Eastborrowdale,Harare
Emmanuel Family Clinic,Guernsey Farmacturus,Goromonzi
Emmanuel Medi-Clinic,Number 5621,Harare
Empire Pharmacy Kamfinsa,Shop 123 Lot 305 Kamfinsa Shopping Centre,Harare
Empumalanga Clinic,95Empumalanga Township,Hwange
Emras Lifeflight-Baines,81Baines Avenue,Harare
Emvision Medical Imaging,Stand 655 Bt87 Josiah Tongogara Streetbetween 8Th And 9Th Ave,Bulawayo
Enatmak Diagnostic Imaging,8170Kuwadzana 4 Shopping Centrekuwadzana,Harare
Endodontic Suite,103The Chasemt Pleasant,Harare
Enis Pharmacy,33 Second Street,Mutare
Enliven Dental Clinic,48 Chirodzero Shopsdomboshava,Domboshava
Enliven Medical Centre,48 Chirodzero Shops,Domboshava
Enswin Pharmacy,"4115 Jabavu Drive, Machipisa",Harare
Ent Consulting Rooms,"West End Close, 13 Baines Avenue",Harare
Entoptic Services,34 Van Praagh Avenue Milton Park,Harare
Entumbane Clinic,Corner Muzomuhle Road & Midibheni Road,Bulawayo
Entumbane Medical Centre,Shop 41 Entumbane Shopping Complex Entumbane,Bulawayo
Epaton Pharmacy,5158Cornershopoverspill,Harare
Epworth Complex Medical Centre,Shop 6Zesa Epworth Complexchiremba Road,Harare
Epworth Mission Clinic,Lot2 Chiremba Roadepworth,Harare
Epworth Polyclinic,1036Off Chiremba Roadepworth,Harare
Epworth Polyclinic Local Board Laboratory,1038 Chiremba Road,Harare
Esgar Industrial Clinic,"1256 - 25Th Road, Tynwald Industrial Area",Harare
Esgar Medical Centre,2166 Area D,Harare
Esgar Medical Centre,Helm Farm Ward 1Marondera Rural,Marondera
Esigodini Dental Surgery,Esigodinileebot Complex,Bulawayo
Esigodini District Hospital,Esigodini District Hospitalp.O.Box 49Esigodini,Harare
Esigodini Pharmacy,Shop Number 4 Zuka Complexesigodini,Esigodini
Esigodini Rdc-Irrisvale Rural Health Center,Mbalabalairrisvale,Esigodini
Esigodini Rdc-Kumbudzi Rural Health Centre,Kumbudzi,Esigodini
Esigodini Rdc-Mbizingwe Rural Health Centre,Mbizingwe,Esigodini
Estee Health Haven,35A Station Road,Chegutu
Ethans Care Pharmacy,"Shop 18 Margolis Shopping Complexstand Number 621, Stephen Margolis Road, Derbyshirewaterfalls",Harare
Ethelsup Ambulances,64Dotito Township,Mt Darwin
Ethelsup Health Care,Stand Number 64Dotito Township,Mt Darwin
Eureka Mine Clinic,Eureka Minemuroiwa Villageward 6,Guruve
Evada Dental Clinic,53 Fifth Street,Kwekwe
Evercare Surgery,12188 Tynwald Townshiptynwald,Harare
Evercare Surgery,6082Dzivarasekwa Extension,Harare
Evolution Pharmacy,"Shop 1, Stand 10377",Harare
Evolution Pharmacy,Shop 4 Nssa Complexsakubva,Mutare
Evolution Pharmacy - Motto Motto,Stand 3192Bata Buildingherbert Chitepo,Mutare
Evolution Pharmacy - Ruwa,3788 San Sauci Road,Ruwa
Evolution Pharmacy Chipinge,"Shop G2 Nssa Complex, 161 Main Street",Chipinge
Exceed Dental Clinic,62 Vukantengane,Plumtree
Excel Clinical Laboratory,Suite 10 Esihlengweni Medical Chambersjosiah Tongogara Avenue,Bulawayo
Excel Imaging Centre,4098 Main Streetmachipisa Shopping Centre,Harare
Excel Radiology X-Ray Unit Pvt Ltd,1751 Mutoko Roadmarlborough,Harare
Excel Radiology Pvt Ltd,1751Mutoko Roadnew Marlborough,Harare
Excell Imaging Centre-X-Ray Unit,4098Main Streetmachipisa Shopping Centre,Harare
Exclusive Medcare Hospital,119117Th Avenuemorningside,Mutare
Executive Pharmacy,7713 Nketa 9,Bulawayo
Executive Women Health Clinic,60Livingstone Avenue,Harare
Expedite Dna Zimbabwe,146Kwame Nkrumah Avenue,Harare
Express Care Pharmacy,Shop 1Newlands Shopping Centre,Harare
Express Care Pharmacy,"Shop 6 Realtime Building, 3Rd Street And Central Avenue",Harare
Express Care Pharmacy Murambinda,Stand Number 1329 Murambinda,Murambinda
Express Mart Pharmacy,Number 46Acentral Avenue,Harare
Express Medical Centre Laboratory-Zyfire,19120Dick A Masundababourfields,Bulawayo
Extension Medical Centre,Shop 21 Sifra Village,Harare
Eye And Laser Centre,2 Routledge Streetmilton Park,Harare
Eye Clinic - L. Takawira,Cbz Building Cnr Robert Mugabe / Leopold Takawira,Harare
Eye Clinic -Madokero,Shop Number 11Madokero Mall Hallway,Harare
Eye Clinic Med Centre,106Jason Moyo Street/Corner 4Th Street,Harare
Eye Clinic Opticians,Shop 2 Stanley Housecorner First Street,Harare
Eye Clinic Zimvision Opticians,29 Speke Avenue,Harare
Eye Do Ocular Health Centre,Shop 6A Nfu Housecorner 1St Avenue & 1St Avenue,Mutare
Eye Emporium Pvt Ltd,"S/D Of Stand 267, 120 Fife Street",Bulawayo
Eye Plus Opticians,3Azb Lite Towers77 Jason Moyo Avenues,Harare
Eye Studio Optometrists,Shop 5Belvedere Squarecorner Princess&Burton Road,Harare
Eye To Eye Opticians,Shop Number 1Silundika House22 George Silundika Avenue,Harare
Eye Wellness Centre,176 Samora Machel,Harare
Eyeconic Vision Optemetrists,24 Cleveland Avenuemilton Park,Harare
Eyemate Optometrists,58A George Silundika Avenue,Harare
Eyepod,Stand 413Pioneer Roadzambezi Centre,Victoria Falls
Eyepod Bulawayo - Mhizha,1St Floor Charter House Cnr Fort Street / L. Takawira Street,Bulawayo
Eyepod Intellectus,1070Bulawayo Townshipstand No.137A,Bulawayo
Eyeq Opticians,2Nd Floordon Medical Centre8063 Amaveni,Kwekwe
Eyeq Opticians,323 Mapanda Buildinggokwe Centre,Gokwe
Eyeroom Optometrists,"Shop 5, Zb Life Towersjason Moyo Ave",Harare
Eyes & Lenses Optician - Marondera,9 Msasa Court,Marondera
Eyes & Lenses Opticians,130 Harare Street,Harare
Eyes & Lenses Opticians - Nelson Mandela,55 Nelson Mandela Avenue,Harare
Eyes & Lenses Opticians - Chiredzi,Shop 4 Old Mutual Building,Chiredzi
Eyes Peak Opticians - Masvingo,No. 4 Old Mutual Building,Masvingo
Eyes Peak Opticians-Ngezi,9Old Mutual Building,Ngezi
Eyesite Optpmetry-Gweru,Shop 7Starlite House 3Rd Street,Gweru
Eyesite Optpmetry-Kwekwe,9A Nelson Mandela Avenue,Kwekwe
Eyezone Optometrists,Shop 7 Upstairs Zonkizizwe Shopping Centrebradfield,Bulawayo
Eyezone Optometrists,Crn R Mugabe Road And Harare Road,Masvingo
Eyezone Optometrists - Byo,Suite 304 3Rd Floor Cipf Building Office,Bulawayo
Fadzwa Wellness,4 Cuba Avenuemt Pleasant,Harare
Fairmind Clinical Laboratory,48Herbert Chitepo Street/3Rd Avenue,Bulawayo
Faith Pharmacy,Shop 5 Sagonda Complexk2006 Katanga,Norton
Falcon College Sanatorium,Falcon College Campus,Esigodini
Falcon Medical Centre,136Harare Street,Harare
Falcon Medical Centre-Ultrasound,136Harare Streetcnr Speke/Harare,Harare
Famcare Clinic,284/9 Mbizo,Kwekwe
Famcare Medical Centre,24042 Makoni,Chitungwiza
Famcare Pharmacy,24042 Makoni Shopping Centre,Chitungwiza
Familly Care Dental Surgery,97 Fourth Street,Mutare
Family Cancer Clinic,4 Cleveland Avenuemilton Park,Harare
Family Care Dental Cbd,61 Fourth Street,Mutare
Family Care Dental Surgery - Dangamvura,4837Area 3Dangamvura,Mutare
Family Care Medical Centre,113A J. Tongogara Street,Bulawayo
Family Care Pharmacy - Marondera,Stand 1422Cnr Pine And Main Street,Marondera
Family Care Pharmacy- Chinamano,Cnr Chinamano And Second Street,Harare
Family Care Pharmacy-Chisipite,11Hindheadchisipite,Harare
Family Dental Clinic-Dr Nani,24Hofmeyer Road,Masvingo
Family Dentist,Shop 6 Fidelity Life Centre121 Gum Avenue,Kwekwe
Family Doctors,377-16 7Th Street,Gweru
Family Health Clinic,8141Kuwadzana 2 Shopping Centre,Harare
Family Health Clinic-Mutoko,Number 352 Chinzanga Township,Mutoko
Family Health Pharmacy-Chitungwiza,16068Unit Gseke,Chitungwiza
Family Health Practitioners-Entumbane,10Entumbane Business Complexluveve Road,Bulawayo
Family Healthcare Clinic-Bulawayo,Number 3014Th Avenue Between Fort Street & H. Chitepo Street,Bulawayo
Family Medical Clinic,24S Mazorodze,Masvingo
Family Medical Clinic,6919 Stoneridge Park,Harare
Family Mental Health Centre,92S.Parirenyatwa Street,Bulawayo
Family Pharmacy,Stand No. 257Shop 1 24 Hofmeyer Street,Masvingo
Family Pharmacy - Masvingo,16967Runyarao South West,Masvingo
Family Surgery,20 Fourth Street,Marondera
Family Wellness Clinic,6473Southlea Park,Harare
Fammed Clinic,17 Trail Road Northwood,Harare
Fammed Laboratory,17 Trail Road Northwood,Harare
Fammed Pharmacy,"17 Trail Road, Mt Pleasant",Harare
Farai Mahomva Surgery,50 Harvey Brown Avenuemilton Park,Harare
Farai Surgery-Mufakose,36Mutondomufakose,Harare
Fassa Fight Against Substance Abuse And Addiction Hospital,4164 Nharira View,Norton
Fc Pharmacy-Gweru,127Main Streetspar Complex,Gweru
Fc Pharmacy-Kwekwe,4487Westview Avenuenewton,Kwekwe
Femicare Clinic,4 Wakefield Road,Harare
Fern Valley Mental And Rehabilitation,5575Murambi East,Mutare
Fetal Clinic,101 Josiah Chinamano Avenue,Harare
Fetal Clinic,2 Dunkirk Drivealexandra Park,Harare
Fidelity Health Care Pharmacy,"19 Nicoz House, Cnr First Street, Nelson Mandela Avenue",Harare
Fidelity Park Surgery,6871,Nyika
Fife Ave Ot,611-44Th Streetbudiriro,Harare
Fife Avenue Medical Centre Clinic,186Fife Avenue,Harare
Fife Avenue Medical Centre Pharmacy,186 Fife Avenue,Harare
Fife Rx Pharmacy,159Fife Avenue,Harare
Fifty Nine Fifty Wholesale Pharmacy,"152Bay 6Cavan Complex,Mutare Road",Harare
Filabsi Rdc-Amazon Rhc,Amazon Business Centreamazon,Filabusi
Filabsi Rdc-Nkankezi Rhc,Nkankezi Rhcp.Box 31,Filabusi
Filabsi Rdc-Nyamine Rhc,Nyamine Rhcp.O.Box 31,Filabusi
Filabusi Dental Centre,Stand 1519 Msweza,Filabusi
Filabusi Rdc-Gwatemba Rural Health Center,Gwatembap.O.Box 31,Filabusi
Filabusi Rdc-Mabuze Rural Health Center,Mabuze Rural Health Centerp.O.Box 31,Filabusi
Filabusi Rdc-Sanale Rural Health Centre,Sanale Business Centerp.O.Box 31,Filabusi
Fil-Med Pharmacy,2444 Mthwakazi Business Centre,Filabusi
Finesse Plastic Surgery Associates,50 Harvey Brown Avenuemilton Park,Harare
Firm Foundation Medical Chambers,3207Jongwe Streetchiwororo Business Centre,Masvingo
Firm Physiotherapy And Sports Injuries Clinic,160 Fife Avenue,Harare
Firmfaith Pharmacy,3973/6 Katanga,Norton
First Care Pharmacy,Ground Floor Miracle House 23 Jason Moyo Avenue,Harare
First Care Pharmacy- Avondale,"2 Hermes Court, Blue Lagoon Shopping Centreavondale West",Harare
First Care Pharmacy-Emerald Hill,2 Hermes Courtcnr Lomagundi & West Roadblue Lagoon Shopping Centre,Harare
First Care Surgery,6275 Cbdfred Jameson Way,Karoi
First Care Surgery-Karoi,2860 Chiedza,Karoi
First Choice Surgery,Number 7 First Mutual Building Ed Mnangagwa Way,Kwekwe
First Day And Night Pharmacy,Shop 6Victoria House,Kadoma
First Health Pharmacy,79 Chadevhu,Masvingo
First Health Pharmacy-Harare,Stand Number 14589 80 Cnr Simon Muzenda & R. Mugabe Road,Harare
First Health Pharmacy-Neshuro,742Neshuro Business Centremwenezi,Masvingo
First Mutual Bryanston House Pharmacy,9George Silunduka Avenue,Harare
First Mutual Bulawayo Clinic,137 Bt93 Jmn Avenue Street,Bulawayo
First Mutual Clinic (Medical Specialist Center),8Elseworth Avenuesecond Street,Harare
First Mutual Clinic 94 Central Avenue,94 Central Avenue,Harare
First Mutual Clinic- Beitbridge,Opposite Zesa Complex,Beitbridge
First Mutual Clinic- Masvingo,Stand Number 3215 Shuvai Mahofa,Masvingo
First Mutual Clinic -Mutare,95 Herbert Chitepoplumpton Chambers Building,Mutare
First Mutual Dental Clinic (Msc),8 Elsworth Avenuebelgravia,Harare
First Mutual Dental Clinic-Bulawayo,137Bt93 Jmn Avenue Street,Bulawayo
First Mutual Dental Clinic-Gweru,1Lobengula Avenue,Gweru
First Mutual Health Clinic - Gweru,1 Lobengula Avenue,Gweru
First Mutual Health Clinic-Gweru,1 Lobengula Avenueopposite Aviation Museum,Gweru
First Mutual Health Dental Clinic-G.Silundika,9 George Silundika,Harare
First Mutual Medical Centre,94 Central Avenue,Harare
First Mutual Medical Centre Pharmacy,Lot 63163Southerton,Harare
First Mutual Medical Centre Zororo,"Stand Number, Lot 6 Stand 3163 Zororo Hostel, Harare Hospitalsoutherton",Harare
First Mutual Medical Clinic,9 George Silundika Avenue,Harare
First Mutual Mutare Clinic,"95 Herbert Chitepo,Plumpton Chambers Building",Mutare
First Mutual Mutare Dental,"95 Herbert Chitepo,Plumpton Chambers Building",Mutare
First Mutual Optometry -Bulawayo,137 Bt93Jmn Nkomo Street,Bulawayo
First Mutual Optometry Clinic-Harare,94 Central Avenue,Harare
First Mutual Pharmacies,"Shop 3, Cornered Building, Cnr Robert Mugabe Road & Second Street",Harare
First Mutual Pharmacies-Central Avenue,94 Central Avenue First Mutual Medical Centre,Harare
First Mutual Pharmacy,"Shop Number 58/59 Bahadur Centre, Bahadur",Gweru
First Mutual Pharmacy - Bulawayo,"Shop 4, First Mutual Life Buildingcnr 9Th Avenue / 93 J. N. M. Nkomo",Bulawayo
First Mutual Pharmacy- Masvingo,3215 Shuvai Mahofa Avenue,Masvingo
First Mutual Pharmacy- Mutare,95 Herbet Chitepo Plumpton Chambers,Mutare
First Mutual Pharmacy-Beitbridge,Dulivadzimu Township Adjacent To Red Cross,Beitbridge
First Pharmacy,Stand 228Kudakwashe Business Complex,Murehwa
First Point Healthcare Private Limited,"Stand Number 895, 113 Corner Kwame Nkrumah Avenue/ 4Th Street",Harare
Fit Pharmacy,Stand Number 6940Chinzanga,Mutoko
Flame Lilly Clinic,2422 Munende Township,Gutu
Fleetwood Dialysis Centre,16 Park Streetnewtown,Kwekwe
Flex Clinic,73623 New Lobengula,Bulawayo
Flex Clinic-Bulawayo,73623New Lobengula,Bulawayo
Flex Med Pharmacy,Shop 2Cabs Buildingkamfinsa Shops,Harare
Flexfit Physio Clinic,Flat 3 160 Fife Avenue,Harare
Flimas Pharmacy,109Leopold Takawira Street,Harare
Flow Cytometry Centre,Suite 12A & 14 Medical Centre 52,Harare
Floyd Medical Centre,Stand No. 249,Murehwa
Flying High Maternity,9311 Budiriro 5 Budiriro,Harare
Foot Clinic,10 Fife Avenue,Harare
Forestal Machipisa Pharmacy,4097 Machipisa Shopping Centre Highfields,Harare
Forrester Estates Clinic,Forrester Estate,Mvurwi
Fort Street Medical & Dental Center,148Bfort Street Btwn 13Th Avenue & 14Th Avenue,Harare
Fort Xray Centre,8990 Spitzkop,Gwanda
Fortiq 107 Medical Centre,4634New Medium Density,Beitbridge
Fortress A&E,9653Chipukutu,Ruwa
Fortress Dental Surgery,9653Chipukutu,Ruwa
Fortress Rehabilitation Unit,9653Chipukutu Township,Ruwa
Fountain Surgery,22 Park Street,Harare
Fountain Surgery,"22 Park Street, Cnr Kwame Nkrumah",Harare
Four Seasons Pharmacy,93 Fife Avenues,Harare
Fourth Street Surgery,Suite 3 Grayhurst Building102 N. Mandela,Harare
Fr O'Hea Memorial Mission Hospital,Kutama Village,Zvimba
Fraserton Polyclinic,Stand Number 10131Shop 4Whitecliff,Zvimba
Freda Mine Clinic,Tuli Farm Makwe,Gwanda
Freda Rebecca Gold Mine Clinic,87Km Peg Harare-Bindura Road,Bindura
Freeway Pharmacy,21 Shop 3 Robert Mugabe Way,Rusape
Friends Pharmacy,883 Vengere Shops,Rusape
Frontline Medical Clinic,2050 Chiwaridzo 2,Bindura
Futuristic Medical Diagnostics,Pioneer Cottages (Eastern Wing)1 Goerge Silundika Streetrhodene,Masvingo
Fynex Family Support Services,78East Roadbelgravia,Harare
G And N Private Hospital,Lot 1Marriot Complexmwenezi,Rutenga
G.M. Clinic - Dangamvura,Stand 1098 Dangamvura,Mutare
G.M. Diagnostics X.Ray - Bulawayo,101-102 Lancet House9Th Avenue/ J. Tongogara Street,Bulawayo
G.M. Diagnostics X.Ray - Gweru,30A Seventh Street,Gweru
G.M. Diagnostics X.Ray - Kadoma,6 Colling Streetmtetwa Complex,Kadoma
G.M. Diagnostics X-Ray - Kwekwe,Stanley Housefourth Street,Kwekwe
G.Spagnolli Centre For The Health & Promotion Of Women,12Churchill Drivemarlborough,Harare
Galaxy Pharmacy,19722Unit O Shopping Centreseke,Chitungwiza
Galen House Medical Centre,"93 J.Tongogara Street, Corner 9Th Avenue",Bulawayo
Galloway Medical Centre,15100 Galloway Park,Norton
Gamma Allergy & Immunology Lab,113 Kwame Nkruma Ave,Harare
Gamma Allergy & Immunology Laboratory,Trojan Mine Clinic,Bindura
Gamma Allergy And Immunology Laboratory,43 4Th Street Winston Park,Marondera
Gamma Allergy And Immunology Laboratory,16972 Kuwadzana Township,Harare
Gamma Allergy And Immunology Laboratory - Trojan,Trojan Mine Clinic,Bindura
Gamma City Laboratory,113 Kwame Nkruma Avenue,Harare
Gandachibvuva Mission Hospital,Gandachibvuva Mission Hospitalbox 23,Chivhu
Gangaidzo Surgery,13 Baines Avenuewestend Clinic,Harare
Ganglion Medical Incorporated,18 East Roadavondale East,Harare
Garden City Clinic,"Stand 383 Engineering, Machipisa",Harare
Garicos Health Care,"Shop 8, Budiriro 5 Shopping Centre",Harare
Garikai Pharmacy,3116Dulibadzimu Township,Beitbridge
Gateway Care Pharmacy,Stand No.15706Domboshava Roadhatcliffe,Harare
Gateway Care Surgery,15706 Domboshava Roadhatcliffe,Harare
Gateway Mental Health And Rehabilitation (Indoor/Outdoor) Psychology Unit,16 Mclaren Milton Park,Harare
Gateway Pharmacy,Makaha Business Centre,Mutoko
Gatsi Clinic,Gatsi Village,Mutare
